Diazo.csv;;Kemi1\Kemi01;15-09-2017 11:59:53;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.9082
201;2.9727
202;3.0452
203;3.0969
204;3.144
205;3.1641
206;3.2035
207;3.2074
208;3.1892
209;3.2213
210;3.2332
211;3.2482
212;3.2714
213;3.2626
214;3.3265
215;3.3134
216;3.3281
217;3.342
218;3.4128
219;3.4187
220;3.4373
221;3.4764
222;3.4839
223;3.5478
224;3.6212
225;3.6305
226;3.6939
227;3.8119
228;4.0122
229;4.1358
230;4.0842
231;3.981
232;3.8922
233;3.8019
234;3.8261
235;3.8081
236;3.7957
237;3.7741
238;3.7574
239;3.7456
240;3.7969
241;3.8695
242;3.9881
243;4.0668
244;3.9665
245;3.8716
246;3.9176
247;4.104
248;4.0653
249;4.0459
250;3.8546
251;3.7475
252;3.7819
253;3.8593
254;3.6966
255;3.6526
256;3.625
257;3.6767
258;3.6849
259;3.7807
260;3.9136
261;3.9108
262;3.8491
263;3.6909
264;3.6873
265;3.6453
266;3.6441
267;3.6881
268;3.6823
269;3.6545
270;3.6778
271;3.7227
272;3.7951
273;3.775
274;3.6644
275;3.6513
276;3.6792
277;3.7106
278;3.7042
279;3.7148
280;3.711
281;3.7086
282;3.7633
283;3.7618
284;3.7185
285;3.7158
286;3.7409
287;3.7421
288;3.7875
289;3.7061
290;3.7001
291;3.7698
292;3.7349
293;3.7398
294;3.7453
295;3.7985
296;3.7957
297;3.8529
298;3.8477
299;3.74
300;3.684
301;3.7747
302;3.6678
303;3.6461
304;3.6276
305;3.5736
306;3.5557
307;3.5653
308;3.5736
309;3.5854
310;3.5275
311;3.4962
312;3.4551
313;3.3763
314;3.3084
315;3.2191
316;3.0585
317;2.8817
318;2.7134
319;2.5645
320;2.4161
321;2.267
322;2.1322
323;2.0136
324;1.9155
325;1.8191
326;1.7186
327;1.6334
328;1.556
329;1.4859
330;1.4258
331;1.3763
332;1.3312
333;1.2927
334;1.257
335;1.217
336;1.1778
337;1.1391
338;1.101
339;1.0705
340;1.0468
341;1.0282
342;1.0165
343;1.0077
344;0.9992
345;0.9864
346;0.9667
347;0.9381
348;0.9032
349;0.869
350;0.8412
351;0.8226
352;0.8126
353;0.8114
354;0.8157
355;0.8226
356;0.827
357;0.8227
358;0.8063
359;0.7713
360;0.727
361;0.6807
362;0.6466
363;0.6198
364;0.5988
365;0.5904
366;0.5906
367;0.5971
368;0.6076
369;0.6186
370;0.6246
371;0.6194
372;0.5995
373;0.5587
374;0.5068
375;0.454
376;0.4045
377;0.3675
378;0.3444
379;0.3267
380;0.3155
381;0.3115
382;0.3126
383;0.3158
384;0.3183
385;0.3188
386;0.3136
387;0.3003
388;0.279
389;0.2503
390;0.2155
391;0.1787
392;0.1481
393;0.1193
394;0.0959
395;0.0803
396;0.0658
397;0.0551
398;0.0474
399;0.0412
400;0.0361
401;0.0321
402;0.0281
403;0.0246
404;0.0224
405;0.0202
406;0.0183
407;0.0164
408;0.0151
409;0.0139
410;0.0126
411;0.0118
412;0.0112
413;0.0102
414;0.0098
415;0.0086
416;0.0085
417;0.0083
418;0.0078
419;0.0074
420;0.0074
421;0.0071
422;0.0069
423;0.0065
424;0.0066
425;0.0066
426;0.0064
427;0.0062
428;0.0061
429;0.0059
430;0.0055
431;0.0057
432;0.0057
433;0.0056
434;0.0055
435;0.0054
436;0.0055
437;0.0053
438;0.0051
439;0.0051
440;0.0047
441;0.0049
442;0.0047
443;0.0046
444;0.0045
445;0.0043
446;0.0039
447;0.004
448;0.004
449;0.0038
450;0.0037
451;0.0036
452;0.0035
453;0.0033
454;0.0032
455;0.003
456;0.0028
457;0.0028
458;0.0027
459;0.0023
460;0.0026
461;0.0026
462;0.0024
463;0.002
464;0.0022
465;0.0015
466;0.002
467;0.0019
468;0.0016
469;0.0018
470;0.0017
471;0.0015
472;0.0013
473;0.0013
474;0.0012
475;0.0013
476;0.0013
477;0.0014
478;0.0015
479;0.001
480;0.001
481;0.0012
482;0.0009
483;0.0007
484;0.0008
485;0.0006
486;0.0007
487;0.001
488;0.0008
489;0.0007
490;0.001
491;0.0006
492;0.0008
493;0.0005
494;0.0005
495;0.0007
496;0.0011
497;0.0006
498;0.0008
499;0.0007
500;0.0007
501;0.0008
502;0.0006
503;0.0007
504;0.0005
505;0.0008
506;0.0003
507;0.0007
508;0.0006
509;0.0008
510;0.0007
511;0.0006
512;0.0008
513;0.0004
514;0.0008
515;0.0006
516;0.0005
517;0.0005
518;0.0006
519;0.0004
520;0.0008
521;0.0005
522;0.0006
523;0.0004
524;0.0005
525;0.0001
526;0.0002
527;0.0004
528;0.0002
529;0.0003
530;0.0003
531;0.0003
532;0.0003
533;0.0003
534;0.0005
535;0.0001
536;0.0004
537;0.0004
538;0.0004
539;0.0002
540;0.0005
541;0.0002
542;0
543;0.0002
544;0.0001
545;0.0002
546;0.0003
547;0.0002
548;0.0002
549;-0.0001
550;-0.0005
551;0.0002
552;-0.0002
553;0
554;0.0001
555;-0.0002
556;-0.0004
557;-0.0005
558;-0.0003
559;-0.0004
560;-0.0008
561;0.0002
562;-0.0003
563;-0.0007
564;-0.0002
565;0.0007
566;-0.0006
567;-0.0007
568;-0.0004
569;-0.0001
570;0
571;0.0003
572;0.0003
573;-0.0005
574;0.0003
575;0.0005
576;-0.0002
577;0.0006
578;-0.0005
579;-0.0001
580;-0.0009
581;-0.0005
582;0.0001
583;-0.0005
584;0.0003
585;-0.0002
586;-0.0013
587;-0.0008
588;-0.0012
589;-0.0005
590;-0.001
591;-0.0006
592;-0.0006
593;-0.0005
594;-0.0007
595;-0.0008
596;-0.0002
597;-0.0004
598;-0.0008
599;0.0001
600;-0.0014
601;0.0002
602;-0.0003
603;-0.0004
604;-0.0007
605;-0.0001
606;-0.0003
607;0.0004
608;-0.0001
609;0
610;-0.0007
611;0.0003
612;-0.0014
613;-0.0011
614;-0.0011
615;-0.0009
616;-0.0004
617;-0.0015
618;-0.0006
619;-0.0014
620;-0.0003
621;0.0002
622;-0.0004
623;-0.0008
624;-0.0008
625;-0.0016
626;-0.0007
627;-0.0006
628;-0.0008
629;-0.0007
630;-0.0007
631;-0.0009
632;-0.0016
633;-0.0014
634;-0.0004
635;-0.0012
636;-0.0009
637;-0.0014
638;-0.0014
639;-0.0018
640;-0.0016
641;-0.0016
642;-0.0016
643;-0.0006
644;-0.0017
645;-0.001
646;-0.0005
647;-0.0022
648;-0.0009
649;-0.0019
650;-0.0013
651;-0.0012
652;-0.001
653;-0.0006
654;-0.001
655;-0.0015
656;-0.0007
657;-0.001
658;-0.0009
659;0
660;-0.0015
661;-0.0007
662;-0.0012
663;-0.002
664;-0.0019
665;-0.0013
666;-0.0004
667;-0.0013
668;-0.0007
669;-0.0004
670;-0.0005
671;-0.0003
672;-0.0007
673;-0.0007
674;-0.0001
675;0.0002
676;-0.0007
677;0
678;-0.0005
679;-0.0009
680;-0.0001
681;-0.0003
682;0.0004
683;0
684;-0.0002
685;0.001
686;0.0002
687;0.0002
688;-0.0002
689;-0.0003
690;-0.0003
691;0.0002
692;0.0003
693;0.0003
694;0
695;-0.0004
696;0.0004
697;0.0005
698;0.0007
699;-0.0001
700;0
701;0.0004
702;-0.0005
703;0
704;-0.0002
705;-0.0005
706;-0.001
707;-0.0003
708;0
709;0
710;-0.0002
711;0.0004
712;-0.0005
713;0.0002
714;-0.0002
715;-0.0006
716;-0.0005
717;0
718;0.0002
719;-0.0002
720;-0.0003
721;-0.0005
722;-0.0003
723;0.0005
724;-0.0006
725;-0.0006
726;0
727;-0.0006
728;-0.0005
729;-0.001
730;-0.0006
731;0
732;-0.0001
733;0.0007
734;0.0005
735;0
736;0.0013
737;-0.0005
738;-0.0001
739;-0.0006
740;0.0003
741;-0.0009
742;-0.0002
743;0.0004
744;-0.0001
745;0.0004
746;-0.0008
747;-0.0003
748;-0.0005
749;-0.0005
750;-0.0004
751;0.0008
752;-0.0001
753;0.0002
754;0.001
755;0
756;0.0005
757;0.0005
758;0
759;0.0003
760;0.0003
761;0.0001
762;0.0007
763;-0.0003
764;0
765;0
766;-0.0002
767;0.0002
768;-0.0005
769;0.0006
770;0
771;-0.0001
772;-0.0007
773;0.0006
774;0
775;0.0007
776;0
777;0.0003
778;-0.0004
779;0.0009
780;-0.0007
781;-0.0005
782;-0.0005
783;0.0002
784;0.0006
785;0.0007
786;-0.0002
787;-0.0001
788;0.0001
789;-0.0015
790;0
791;-0.0002
792;0.0007
793;-0.0006
794;0.0001
795;-0.0003
796;0.0001
797;0.0003
798;0.0004
799;0.0002
800;0.0013
